Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	STSitePosterior_fornix	-0.0156129997731937	297	205	5.60661343828344e-33	2.20463443674874e-32
STSite	k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Leptotrichales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_hofstadii	STSitePosterior_fornix	-0.00594867580171801	297	83	2.21792005870165e-32	8.57595756031305e-32
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	STSitePosterior_fornix	-0.0125419470533781	297	166	2.3360837500697e-32	8.88477754124869e-32
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	STSitePosterior_fornix	-0.0190907862715637	297	87	5.11376505899749e-32	1.91353789304422e-31
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	STSiteStool	0.0234330972901779	297	126	8.05454849147303e-32	2.96611944447896e-31
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	STSitePosterior_fornix	-0.0180112738729268	297	199	1.00057352280857e-31	3.62707902018108e-31
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	STSiteStool	0.0212999634157718	297	116	2.16070492686637e-29	7.71205450819997e-29
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	STSiteStool	-0.0250950920940998	297	96	8.38171110567087e-29	2.94629844926613e-28
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	STSiteStool	0.0045119590027419	297	90	9.22381439645403e-29	3.19391782086169e-28
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	STSiteStool	0.0500778537370916	297	108	9.48732449865733e-29	3.23685188777721e-28
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	STSiteStool	0.038398202842378	297	106	8.26171272145131e-28	2.77785123387928e-27
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	STSiteStool	0.00943479512257468	297	106	1.02717320113212e-27	3.40434546660933e-27
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva	STSiteStool	-0.0175502451313877	297	84	3.05171565146716e-27	9.97180325549834e-27
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	STSiteStool	0.0466513141912929	297	104	6.88163348770628e-22	2.21741523492758e-21
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	STSiteStool	0.0288155971966169	297	97	5.66890661751476e-21	1.80162511679921e-20
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	STSiteStool	-0.0172228567325739	297	92	2.57317733696228e-20	8.06725867804391e-20
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii	STSitePosterior_fornix	0.0905015188403171	297	34	1.27418847108961e-18	3.94148967057054e-18
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	STSitePosterior_fornix	-0.0251655967587068	297	96	1.34980522296911e-18	4.1204580490636e-18
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva	STSitePosterior_fornix	-0.0175502451313877	297	84	1.82540371863961e-17	5.49991769771934e-17
STSite	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila	STSiteStool	0.0204545977074496	297	91	1.43611019839797e-13	4.27150725677345e-13
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	STSiteStool	0.0263518270829738	297	90	2.54335879439976e-13	7.46910430760436e-13
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	STSiteStool	0.0130210413634558	297	68	6.44343535487454e-13	1.86859625291362e-12
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	STSitePosterior_fornix	-0.016742012612958	297	92	2.45091801717743e-12	7.01991333315017e-12
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	STSiteStool	0.00937048804769267	297	80	9.42763519011766e-12	2.66733093183817e-11
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	STSiteStool	0.0196460342119585	297	53	6.0226402325627e-10	1.68343678789704e-09
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	STSiteStool	0.0270903998599664	297	124	1.06642400942977e-09	2.94536154985366e-09
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	STSiteStool	0.0178152124654275	297	87	3.69954948523508e-09	1.00975938891122e-08
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	STSiteStool	0.022133906816505	297	110	1.25692744445553e-06	3.39078101294981e-06
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	STSitePosterior_fornix	-0.00406505525011558	297	124	0.475276319091593	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_unclassified	STSitePosterior_fornix	-0.0048840898081878	297	200	0.617866864142391	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_cf	STSitePosterior_fornix	-0.000286166830118772	297	138	0.873421609415243	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	STSitePosterior_fornix	-0.000493234536553707	297	136	0.879550678662392	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	STSitePosterior_fornix	-0.000404557341060131	297	142	0.89285796860528	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	STSitePosterior_fornix	-0.000525489783206398	297	144	0.895314373792347	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	STSitePosterior_fornix	-0.000944512341570097	297	147	0.907290497301305	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	STSitePosterior_fornix	-0.000668236877233923	297	104	0.910142475926891	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	STSitePosterior_fornix	-0.000249360883519249	297	126	0.915061572202225	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_torques	STSitePosterior_fornix	-0.000150161707012183	297	139	0.922130652647287	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	STSitePosterior_fornix	-9.72333101814451e-05	297	106	0.924813113728409	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	STSitePosterior_fornix	-0.000176553160711101	297	68	0.938576897308142	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	STSitePosterior_fornix	-0.000190105781554848	297	108	0.952332611549341	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	STSitePosterior_fornix	0.000182980642877086	297	142	0.958316453479159	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	STSitePosterior_fornix	0.000234962521403567	297	148	0.961234704303755	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	STSitePosterior_fornix	-0.000176319575162039	297	97	0.962565035507867	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	STSitePosterior_fornix	0.000280033857259927	297	148	0.971390422913376	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	STSitePosterior_fornix	-5.14952484369825e-05	297	129	0.971391605850683	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_gnavus	STSitePosterior_fornix	-9.05664038604039e-06	297	116	0.972000916444069	1
